Category,Citations,Month
Social Welfare,"4,091",January
Money & Tax,"1,690",January
Employment,770,January
Moving Country,709,January
Housing,619,January
Travel & Recreation,358,January
Birth Family Relationships,297,January
Health,263,January
RTI,200,January
Education,195,January
Justice,142,January
Consumer ,107,January
Death,95,January
About,66,January
Government in Ireland,53,January
Environment,45,January
My Situation,1,January
Social Welfare,"3,300",February
Money & Tax,"1,085",February
Employment,544,February
Moving Country,502,February
Housing,455,February
Health,326,February
Travel & Recreation,270,February
Birth Family Relationships,200,February
RTI,199,February
Education,177,February
Justice,71,February
Consumer ,68,February
Death,68,February
About,57,February
Environment,32,February
Government in Ireland,10,February
Social Welfare,"2,262",March
Money & Tax,618,March
Employment,558,March
Moving Country,371,March
Housing,353,March
Health,255,March
Travel and Recreation,206,March
RTI,202,March
Family and Relationships,152,March
Education,119,March
Consumer ,89,March
Justice,77,March
Death,70,March
About,56,March
Environment,36,March
Government in Ireland,33,March
My Situation,0,March
Social Welfare,"2,169",April
Money & Tax,586,April
Employment,479,April
Moving Country,381,April
Housing,355,April
Travel and Recreation,294,April
Health,231,April
RTI,212,April
Family and Relationships,152,April
Education,132,April
Justice,119,April
Consumer,78,April
About,69,April
Death,47,April
Government in Ireland,31,April
Environment,29,April
Social Welfare,"5,450",May
Money & Tax,"1,260",May
Employment,"1,218",May
Moving Country,998,May
Travel and Recreation,796,May
Housing,759,May
Health,619,May
RTI,536,May
Family and Relationships,482,May
Education,375,May
Justice,299,May
Consumer,198,May
About,128,May
Government in Ireland,93,May
Death,88,May
